Dataset,Method,Metric,Scaler,Cophenet,vanDongen,adjRand
audio_features,single,minkowski,minMax,0.5392611883342603,0.9971428571428571,0.00014830785845359266
audio_features,single,minkowski,standard,0.588500347885062,0.9971428571428571,0.00014830785845359266
audio_features,complete,minkowski,minMax,0.5843428964750002,0.9845303867403314,0.001857263690739113
audio_features,complete,minkowski,standard,0.5623149400489023,0.9845303867403314,0.001857263690739113
audio_features,average,minkowski,minMax,0.7042391118575695,0.9855715871254163,0.0015660749321533781
audio_features,average,minkowski,standard,0.7332261047703826,0.9855715871254163,0.0015660749321533781
audio_features,single,rogerstanimoto,minMax,0.42955327959298867,0.9687162891046386,0.0012439476448616715
audio_features,single,rogerstanimoto,standard,,0.9687162891046386,0.0012439476448616715
audio_features,complete,rogerstanimoto,minMax,0.4835464980793764,0.9671742808798647,0.005694415769857917
audio_features,complete,rogerstanimoto,standard,,0.9671742808798647,0.005694415769857917
audio_features,average,rogerstanimoto,minMax,0.4474409992684335,0.9678348535765723,0.0029530217244201256
audio_features,average,rogerstanimoto,standard,,0.9678348535765723,0.0029530217244201256
audio_features,single,russellrao,minMax,0.24269155421951094,0.9994272623138603,-4.615131430598038e-05
audio_features,single,russellrao,standard,,0.9994272623138603,-4.615131430598038e-05
audio_features,complete,russellrao,minMax,0.3942673813735221,0.9882955376737381,0.002723547080558992
audio_features,complete,russellrao,standard,,0.9882955376737381,0.002723547080558992
audio_features,average,russellrao,minMax,0.2382273831457544,0.9994272623138603,-4.615131430598038e-05
audio_features,average,russellrao,standard,,0.9994272623138603,-4.615131430598038e-05
audio_features,single,seuclidean,minMax,0.3144062193871085,0.997709049255441,4.8777547452419434e-05
audio_features,single,seuclidean,standard,0.5885003478850614,0.997709049255441,4.8777547452419434e-05
audio_features,complete,seuclidean,minMax,0.46841487914950447,0.6696396717802354,0.1704503455842971
audio_features,complete,seuclidean,standard,0.5623149400489029,0.6696396717802354,0.1704503455842971
audio_features,average,seuclidean,minMax,0.4206959257767838,0.985466741196199,0.00024528638304024844
audio_features,average,seuclidean,standard,0.7332261047703831,0.985466741196199,0.00024528638304024844
audio_features,single,sokalmichener,minMax,0.42955327959298867,0.9687162891046386,0.0012439476448616715
audio_features,single,sokalmichener,standard,,0.9687162891046386,0.0012439476448616715
audio_features,complete,sokalmichener,minMax,0.4835464980793764,0.9671742808798647,0.005694415769857917
audio_features,complete,sokalmichener,standard,,0.9671742808798647,0.005694415769857917
audio_features,average,sokalmichener,minMax,0.4474409992684335,0.9678348535765723,0.0029530217244201256
audio_features,average,sokalmichener,standard,,0.9678348535765723,0.0029530217244201256
audio_features,single,sokalsneath,minMax,0.4265932372406621,0.9764957264957265,0.0007119572729655871
audio_features,single,sokalsneath,standard,,0.9764957264957265,0.0007119572729655871
audio_features,complete,sokalsneath,minMax,0.4260622983381299,0.9813793103448276,0.002886929837999752
audio_features,complete,sokalsneath,standard,,0.9813793103448276,0.002886929837999752
audio_features,average,sokalsneath,minMax,0.4155586191072431,0.9742765273311897,0.003102479913231816
audio_features,average,sokalsneath,standard,,0.9742765273311897,0.003102479913231816
